Artist Name,Artist URI,Song Name,Song URI,Popularity Score,Playlist Add Date,Tuple Label Artist Name URI,Label Album,Record Label,Tuple Followers Artist Name URI,Artist Followers,Album Name,Album URI,Playlist Name,Playlist URI,Playlist Length,Playlist Followers,Playlist Song Index,Last Refresh,Artist Daily Tracks,Label Daily Tracks,Song Daily Tracks
Tauren Wells,3SKza3YPBri1k43LB1Tqy4,Like You Love Me,62ZsjsTf7MLdH0dbIAM54R,0,2020-04-17T21:33:16Z,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",Famous For (I Believe) - EP,Essential Records,"('Tauren Wells', '3SKza3YPBri1k43LB1Tqy4')",367519,Famous For (I Believe) - EP,68jAPqmEltdG223tlHj7Se,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,1,6/29/2021,28,93,3
Andrew Ripp,7oAskcd3mX9ZzxMPFHYqoN,Pilots,7IbQBMmRTzr6qAasixQ9bQ,0,2020-04-17T21:33:16Z,"('Andrew Ripp', '7oAskcd3mX9ZzxMPFHYqoN')",Pilots,Andrew Ripp Music,"('Andrew Ripp', '7oAskcd3mX9ZzxMPFHYqoN')",23602,Pilots,1SE8UxCXx2pVxNBtNYJqDK,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,2,6/29/2021,11,10,1
NEEDTOBREATHE,610EjgFatGvVPtib97jQ8G,LET'S STAY HOME TONIGHT,1kiylxwnw8R8rJoCDtubWM,61,2020-06-15T21:20:58Z,"('NEEDTOBREATHE', '610EjgFatGvVPtib97jQ8G')",H A R D L O V E,Atlantic Records,"('NEEDTOBREATHE', '610EjgFatGvVPtib97jQ8G')",669123,H A R D L O V E,0DjJIQPOsxd5OiUoVskRBH,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,3,6/29/2021,23,32,1
Apollo LTD,2H3EMYFS69dhMmrX9JTkZp,You,6OW9DM0XwDzdiIlKcTuPD3,27,2020-04-17T21:33:16Z,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",You,Residence Music,"('Apollo LTD', '2H3EMYFS69dhMmrX9JTkZp')",14155,You,2mgnhYvHdQQzVOM2LDkuXU,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,4,6/29/2021,11,12,7
Colton Dixon,52oVYHQ99ORZzeig2YGo4R,Can't Quit You,1rDFKjc3N1o8REMY9jVBPh,43,2020-06-15T21:20:58Z,"('Colton Dixon', '52oVYHQ99ORZzeig2YGo4R')",Colton Dixon,Atlantic Records,"('Colton Dixon', '52oVYHQ99ORZzeig2YGo4R')",190120,Colton Dixon,3mHEOWMp4xyuH3B290E34B,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,5,6/29/2021,7,32,1
Sarah Reeves,2vGA5qCDLZGW6exRQgKfLL,Feel The Waters,67Pa5FKcb3RnFtSXmBH6IZ,0,2020-04-17T21:33:16Z,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",Feel The Waters,Word Records,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",70219,Feel The Waters,58RSzSjbWuVbY7Yy0Zt3vX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,6,6/29/2021,7,14,1
for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Pioneers,7GXTUJVO24C8UVrdocU52T,0,2020-04-17T21:33:16Z,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",Pioneers,Word Records,"('for KING & COUNTRY', '3sDbKMebVH2VYcRSl7u1VC')",782378,Pioneers,0wxrQg9RpzpEJzK4Zz2Lr0,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,7,6/29/2021,22,14,1
Phil Wickham,5d1JhBfyb58upMXCZOdbQu,Till I Found You,1var9mNP1RLTlu8qVDji0F,46,2020-04-17T21:33:16Z,"('Phil Wickham', '5d1JhBfyb58upMXCZOdbQu')",Till I Found You,Fair Trade/Columbia,"('Phil Wickham', '5d1JhBfyb58upMXCZOdbQu')",455541,Till I Found You,5i8yKKrI71gqHdXxYafYAo,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,8,6/29/2021,35,82,4
Andrew Peterson,1HYNk3B7EsRPIqAOACgjK1,Dancing In The Minefields,1pDYCsbY4NkeQb8AvanZMj,46,2020-04-17T21:33:16Z,"('Andrew Peterson', '1HYNk3B7EsRPIqAOACgjK1')",Counting Stars,Centricity Music (CEY),"('Andrew Peterson', '1HYNk3B7EsRPIqAOACgjK1')",70952,Counting Stars,2nrcquoo8aHqdrZyx6kdPb,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,9,6/29/2021,6,65,1
Chris August,5ThfTvfTCfzJAEvtEI2Jf8,Gave You My Heart,0JdIj8YUpJkftN6bVbEAr2,45,2020-04-17T21:33:16Z,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",Gave You My Heart,After August,"('Chris August', '5ThfTvfTCfzJAEvtEI2Jf8')",88628,Gave You My Heart,4cpZIsVR6vbHWDHnd7dAUA,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,10,6/29/2021,3,1,1
The Light the Heat,17EpO9pUubOAhnTopBgQYR,It's Our Time,4MTAzJrRxvLxCOfHWU9ZiL,0,2020-04-17T21:33:16Z,"('The Light the Heat', '17EpO9pUubOAhnTopBgQYR')",It's Our Time,The Light The Heat,"('The Light the Heat', '17EpO9pUubOAhnTopBgQYR')",10839,It's Our Time,3N59QkHMDcyqShOGyH41MD,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,11,6/29/2021,1,1,1
Tori Kelly,1vSN1fsvrzpbttOYGsliDr,Dear No One,2wWboDFZJPWXVNlHUbdSVQ,68,2020-04-17T21:33:16Z,"('Tori Kelly', '1vSN1fsvrzpbttOYGsliDr')",Foreword,Tori Kelly,"('Tori Kelly', '1vSN1fsvrzpbttOYGsliDr')",1911608,Foreword,44D28vK3JSIQ7oQNAfoeBD,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,12,6/29/2021,3,1,1
Brandon Heath,0W7wIkmxoGQbnZYn2z2sLj,Faith Hope Love Repeat,67OCXWC93GcixTk3wYvX9c,43,2020-04-17T21:33:16Z,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",Faith Hope Love Repeat,Reunion Records,"('Brandon Heath', '0W7wIkmxoGQbnZYn2z2sLj')",252774,Faith Hope Love Repeat,4lpaCFD1YtduxtT2W1jlNb,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,13,6/29/2021,4,72,1
Ben Rector,4AapPt7H6bGH4i7chTulpI,I Will Always Be Yours,4m1lB7qJ78VPYsQy7RoBcU,55,2020-04-17T21:33:16Z,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",Magic,OK Kid / Activist,"('Ben Rector', '4AapPt7H6bGH4i7chTulpI')",286022,Magic,1FmtmLnB1KrXjK0uWLkyhq,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,14,6/29/2021,4,2,1
Britt Nicole,6BXionV4R0BunrFpSwIMUK,Fallin In Love,6lSKrLc95qy97lCE6CXSZb,37,2020-04-17T21:33:16Z,"('Britt Nicole', '6BXionV4R0BunrFpSwIMUK')",Britt Nicole (Deluxe Edition),Capitol CMG Label Group,"('Britt Nicole', '6BXionV4R0BunrFpSwIMUK')",332004,Britt Nicole (Deluxe Edition),3fKx9rru6A6SLwit7SOoOM,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,15,6/29/2021,1,7,1
Mandisa,0YPElKYjOD1sofFCtLdYj3,Love Somebody,0MLw3p1PWOsbDMwSzV8Gw0,36,2020-04-17T21:33:16Z,"('Mandisa', '0YPElKYjOD1sofFCtLdYj3')",True Beauty,Sparrow,"('Mandisa', '0YPElKYjOD1sofFCtLdYj3')",322700,True Beauty,5UKGADu3H0tfBHo2iE38re,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,16,6/29/2021,15,23,1
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,Big Ole Love,1CX3zLl6r7KJpzzO1Ckulv,0,2020-04-17T21:33:16Z,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')",Who Knew (Vol. 1),50 Year Plan Records,"('Dave Barnes', '7hbH1qupmU6HxVBjWJItlq')",75098,Who Knew (Vol. 1),5yStb9FTFvAkY2TJ8NKkWN,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,17,6/29/2021,2,1,1
Shane & Shane,2LFbgsbEhfilNpQYW7mied,Your Love,4gOKl65mwqty8RGiokhv3h,29,2020-04-17T21:33:16Z,"('Shane & Shane', '2LFbgsbEhfilNpQYW7mied')",The One You Need,Fair Trade/Columbia,"('Shane & Shane', '2LFbgsbEhfilNpQYW7mied')",274843,The One You Need,6QemBl6QEG7Lt9W2ALuctj,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,18,6/29/2021,16,82,3
Jason Gray,4i2mkyKkRrc0OvPrWqb4BE,With Every Act Of Love,3hSzCNU37Yfauxrdup4sxi,34,2020-04-17T21:33:16Z,"('Jason Gray', '4i2mkyKkRrc0OvPrWqb4BE')",Love Will Have The Final Word,Centricity Music (CEY),"('Jason Gray', '4i2mkyKkRrc0OvPrWqb4BE')",127195,Love Will Have The Final Word,0Caxc2aix73gGj6J0cbCjC,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,19,6/29/2021,6,65,1
Jonny Diaz,4HKCjseZVD2vG7EJG3yLwt,Thank God I Got Her,5Rv2Qybimpsp9hzFnMQBYN,47,2020-04-17T21:33:16Z,"('Jonny Diaz', '4HKCjseZVD2vG7EJG3yLwt')",Let It Fly,Centricity Music (CEY),"('Jonny Diaz', '4HKCjseZVD2vG7EJG3yLwt')",116320,Let It Fly,4ZiHyjHojgTgqlFgLABYzg,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,20,6/29/2021,1,65,1
Sarah Reeves,2vGA5qCDLZGW6exRQgKfLL,Easy,4i73TuJFEmHsvzwWwmRaWQ,0,2020-04-17T21:33:16Z,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",Easy,Word Records,"('Sarah Reeves', '2vGA5qCDLZGW6exRQgKfLL')",70219,Easy,5jsHZ1XiLlI9MxF5Vlmse1,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,21,6/29/2021,7,14,1
LaPeer,6rPGKWFVuwuRPPuh1QitHc,Letters,0cqSEpg2nYbneh7RGNrDcp,40,2020-04-17T21:33:16Z,"('LaPeer', '6rPGKWFVuwuRPPuh1QitHc')",'90s Kids,LaPeer,"('LaPeer', '6rPGKWFVuwuRPPuh1QitHc')",3809,'90s Kids,5m0Qi0Nb6i8sQSqUu6HL69,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,22,6/29/2021,2,2,2
Moriah Peters,1w0QYx2G0ywsCClH84FcAv,I'll Wait For You,5vNQTqS0JToEWzlizaGzpy,41,2020-04-17T21:33:16Z,"('Moriah Peters', '1w0QYx2G0ywsCClH84FcAv')",Brave,Reunion Records,"('Moriah Peters', '1w0QYx2G0ywsCClH84FcAv')",66424,Brave,57VocguMCPpTbtRBPb7h0f,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,23,6/29/2021,1,72,1
Million Miles,3exZi47Gf3ZlXjKbvLp5Wm,If Only,3LJr3TanDnPqDHXWzet4Yi,38,2020-04-17T21:33:16Z,"('Million Miles', '3exZi47Gf3ZlXjKbvLp5Wm')",If Only,Noon Pacific,"('Million Miles', '3exZi47Gf3ZlXjKbvLp5Wm')",6293,If Only,5GOzSUBrOb6PaXHMQQixr2,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,24,6/29/2021,1,1,1
Antoine Bradford,1FYE37rOHOrxO1lHAQUkCl,Safe,33AwnZl99mjxjNjMIbflbH,48,2020-04-17T21:33:16Z,"('Antoine Bradford', '1FYE37rOHOrxO1lHAQUkCl')",Safe,Antoine Bradford Music.,"('Antoine Bradford', '1FYE37rOHOrxO1lHAQUkCl')",32925,Safe,3PD9s1GRpT7ahstwgF6AlX,Going Together,37i9dQZF1DWYhr4P5Boce5,67,144108,25,6/29/2021,1,1,1
